date,type,link,kubikmeter,produkt,currency,price,category,subcategory
2025-10-08 01:24:23,Gartenabfälle,www.clearago.de,5.0,Gartenabfälle & Grünschnitt (∅ < 15 cm),€,340.0,Gartenabfälle,& Grünschnitt (∅ < 15 cm)
2025-10-08 01:24:23,Gartenabfälle,www.clearago.de,7.0,Gartenabfälle & Grünschnitt (∅ < 15 cm),€,395.0,Gartenabfälle,& Grünschnitt (∅ < 15 cm)
2025-10-08 01:24:23,Gartenabfälle,www.clearago.de,8.0,Gartenabfälle & Grünschnitt (∅ < 15 cm),€,510.0,Gartenabfälle,& Grünschnitt (∅ < 15 cm)
2025-10-08 01:24:23,Gartenabfälle,www.clearago.de,10.0,Gartenabfälle & Grünschnitt (∅ < 15 cm),€,585.0,Gartenabfälle,& Grünschnitt (∅ < 15 cm)
2025-10-08 01:24:23,Gartenabfälle,www.clearago.de,12.0,Gartenabfälle & Grünschnitt (∅ < 15 cm),€,805.0,Gartenabfälle,& Grünschnitt (∅ < 15 cm)
2025-10-08 01:24:23,Gartenabfälle,www.clearago.de,15.0,Gartenabfälle & Grünschnitt (∅ < 15 cm),€,940.0,Gartenabfälle,& Grünschnitt (∅ < 15 cm)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,260.0,Holz,A1-A3 (unbehandelt & behandelt)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,290.0,Holz,A1-A3 (unbehandelt & behandelt)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,7.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,320.0,Holz,A1-A3 (unbehandelt & behandelt)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,10.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,365.0,Holz,A1-A3 (unbehandelt & behandelt)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,12.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,425.0,Holz,A1-A3 (unbehandelt & behandelt)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,15.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,465.0,Holz,A1-A3 (unbehandelt & behandelt)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,20.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,555.0,Holz,A1-A3 (unbehandelt & behandelt)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,22.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,575.0,Holz,A1-A3 (unbehandelt & behandelt)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,25.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,635.0,Holz,A1-A3 (unbehandelt & behandelt)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,30.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,715.0,Holz,A1-A3 (unbehandelt & behandelt)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,36.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,810.0,Holz,A1-A3 (unbehandelt & behandelt)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,40.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,865.0,Holz,A1-A3 (unbehandelt & behandelt)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Holzabfälle AⅣ (schadstoffbelastet),€,300.0,Holz,A4 (schadstoffbelastet)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,3.0,Holzabfälle AⅣ (schadstoffbelastet),€,300.0,Holz,A4 (schadstoffbelastet)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,5.0,Holzabfälle AⅣ (schadstoffbelastet),€,370.0,Holz,A4 (schadstoffbelastet)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,7.0,Holzabfälle AⅣ (schadstoffbelastet),€,430.0,Holz,A4 (schadstoffbelastet)
2025-10-08 01:24:23,Bauabfälle,www.clearago.de,10.0,Holzabfälle AⅣ (schadstoffbelastet),€,515.0,Holz,A4 (schadstoffbelastet)
