date,link,kubikmeter,produkt,currency,price
2025-10-09 19:00:34,www.clearago.de,8.0,Gartenabfälle & Grünschnitt (∅ < 15 cm),€,510.0
2025-10-09 19:00:34,www.clearago.de,10.0,Gartenabfälle & Grünschnitt (∅ < 15 cm),€,585.0
2025-10-09 19:00:34,www.clearago.de,12.0,Gartenabfälle & Grünschnitt (∅ < 15 cm),€,805.0
2025-10-09 19:00:34,www.clearago.de,15.0,Gartenabfälle & Grünschnitt (∅ < 15 cm),€,940.0
2025-10-09 19:00:34,www.clearago.de,3.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,260.0
2025-10-09 19:00:34,www.clearago.de,5.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,290.0
2025-10-09 19:00:34,www.clearago.de,7.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,320.0
2025-10-09 19:00:34,www.clearago.de,10.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,365.0
2025-10-09 19:00:34,www.clearago.de,12.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,425.0
2025-10-09 19:00:34,www.clearago.de,15.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,465.0
2025-10-09 19:00:34,www.clearago.de,20.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,555.0
2025-10-09 19:00:34,www.clearago.de,22.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,575.0
2025-10-09 19:00:34,www.clearago.de,25.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,635.0
2025-10-09 19:00:34,www.clearago.de,30.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,715.0
2025-10-09 19:00:34,www.clearago.de,36.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,810.0
2025-10-09 19:00:34,www.clearago.de,40.0,Holzabfälle AⅠ–AⅢ (unbehandelt & behandelt),€,865.0
2025-10-09 19:00:34,www.clearago.de,3.0,Holzabfälle AⅣ (schadstoffbelastet),€,300.0
2025-10-09 19:00:34,www.clearago.de,3.0,Holzabfälle AⅣ (schadstoffbelastet),€,300.0
2025-10-09 19:00:34,www.clearago.de,5.0,Holzabfälle AⅣ (schadstoffbelastet),€,370.0
2025-10-09 19:00:34,www.clearago.de,7.0,Holzabfälle AⅣ (schadstoffbelastet),€,430.0
2025-10-09 19:00:34,www.clearago.de,10.0,Holzabfälle AⅣ (schadstoffbelastet),€,515.0
2025-10-09 19:00:34,www.clearago.de,12.0,Holzabfälle AⅣ (schadstoffbelastet),€,585.0
2025-10-09 19:00:34,www.clearago.de,15.0,Holzabfälle AⅣ (schadstoffbelastet),€,670.0
2025-10-09 19:00:34,www.clearago.de,20.0,Holzabfälle AⅣ (schadstoffbelastet),€,810.0
2025-10-09 19:00:34,www.clearago.de,22.0,Holzabfälle AⅣ (schadstoffbelastet),€,915.0
2025-10-09 19:00:34,www.clearago.de,25.0,Holzabfälle AⅣ (schadstoffbelastet),€,955.0
2025-10-09 19:00:34,www.clearago.de,3.0,Rigips & gipshaltige Baustoffe,€,335.0
2025-10-09 19:00:34,www.clearago.de,5.0,Rigips & gipshaltige Baustoffe,€,440.0
2025-10-09 19:00:34,www.clearago.de,7.0,Rigips & gipshaltige Baustoffe,€,530.0
2025-10-09 19:00:34,www.clearago.de,10.0,Rigips & gipshaltige Baustoffe,€,665.0
2025-10-09 19:00:34,www.clearago.de,12.0,Rigips & gipshaltige Baustoffe,€,810.0
2025-10-09 19:00:34,www.clearago.de,15.0,Rigips & gipshaltige Baustoffe,€,925.0
2025-10-09 19:00:34,www.clearago.de,3.0,"Ytong, Poren- & Gasbeton",€,375.0
2025-10-09 19:00:34,www.clearago.de,5.0,"Ytong, Poren- & Gasbeton",€,510.0
2025-10-09 19:00:34,www.clearago.de,5.5,"Ytong, Poren- & Gasbeton",€,595.0
2025-10-09 19:00:34,www.clearago.de,7.0,"Ytong, Poren- & Gasbeton",€,620.0
2025-10-09 19:00:34,www.clearago.de,8.0,"Ytong, Poren- & Gasbeton",€,720.0
2025-10-09 19:00:34,www.clearago.de,10.0,"Ytong, Poren- & Gasbeton",€,815.0
2025-10-09 19:00:34,www.clearago.de,2.0,Gewerblicher Elektroschrott,€,270.0
2025-10-09 19:00:34,www.clearago.de,2.0,Gewerblicher Elektroschrott,€,270.0
2025-10-09 19:00:34,www.clearago.de,4.0,Gewerblicher Elektroschrott,€,540.0
2025-10-09 19:00:34,www.clearago.de,6.0,Gewerblicher Elektroschrott,€,810.0
2025-10-09 19:00:34,www.clearago.de,5.0,Flachglas / Bauglas,€,610.0
2025-10-09 19:00:34,www.clearago.de,7.0,Flachglas / Bauglas,€,765.0
2025-10-09 19:00:34,www.clearago.de,3.0,Gemischte Gewerbeabfälle,€,370.0
2025-10-09 19:00:34,www.clearago.de,3.0,Gemischte Gewerbeabfälle,€,370.0
2025-10-09 19:00:34,www.clearago.de,5.0,Gemischte Gewerbeabfälle,€,480.0
2025-10-09 19:00:34,www.clearago.de,7.0,Gemischte Gewerbeabfälle,€,585.0
2025-10-09 19:00:34,www.clearago.de,10.0,Gemischte Gewerbeabfälle,€,745.0
2025-10-09 19:00:34,www.clearago.de,12.0,Gemischte Gewerbeabfälle,€,870.0
2025-10-09 19:00:34,www.clearago.de,7.0,Metallschrott,€,200.0
2025-10-09 19:00:34,www.clearago.de,7.0,Metallschrott,€,200.0
2025-10-09 19:00:34,www.clearago.de,10.0,Metallschrott,€,210.0
2025-10-09 19:00:34,www.clearago.de,15.0,Metallschrott,€,230.0
2025-10-09 19:00:34,www.clearago.de,20.0,Metallschrott,€,250.0
2025-10-09 19:00:34,www.clearago.de,24.0,Metallschrott,€,260.0
2025-10-09 19:00:34,www.clearago.de,30.0,Metallschrott,€,270.0
2025-10-09 19:00:34,www.clearago.de,36.0,Metallschrott,€,280.0
2025-10-09 19:00:34,www.clearago.de,3.0,Siedlungsabfall,€,370.0
2025-10-09 19:00:34,www.clearago.de,3.0,Siedlungsabfall,€,370.0
2025-10-09 19:00:34,www.clearago.de,5.0,Siedlungsabfall,€,505.0
2025-10-09 19:00:34,www.clearago.de,7.0,Siedlungsabfall,€,615.0
2025-10-09 19:00:34,www.clearago.de,10.0,Siedlungsabfall,€,780.0
2025-10-09 19:00:34,www.clearago.de,12.0,Siedlungsabfall,€,915.0
2025-10-09 19:00:34,www.clearago.de,3.0,Sperrmüll,€,335.0
2025-10-09 19:00:34,www.clearago.de,3.0,Sperrmüll,€,335.0
2025-10-09 19:00:34,www.clearago.de,5.0,Sperrmüll,€,500.0
2025-10-09 19:00:34,www.clearago.de,5.5,Sperrmüll,€,540.0
2025-10-09 19:00:34,www.clearago.de,7.0,Sperrmüll,€,585.0
2025-10-09 19:00:34,www.clearago.de,8.0,Sperrmüll,€,670.0
